,precision,recall,f1-score,support
No HA,0.8909090909090909,0.765625,0.8235294117647058,64.0
HA,0.896551724137931,0.9558823529411765,0.9252669039145908,136.0
accuracy,0.895,0.895,0.895,0.895
macro avg,0.893730407523511,0.8607536764705883,0.8743981578396482,200.0
weighted avg,0.8947460815047021,0.895,0.8927109064266275,200.0
